country_name,country_code,indicator_name,indicator_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Africa Eastern and Southern,AFE,00-04,SP.POP.0004.FE,11781303.0,12140807.0,12522816.0,12915169.0,13316059.0,13730021.0,14146704.0,14574156.0,15023463.0,15489482.0,15972553.0,16468273.0,16962747.0,17456733.0,17947689.0,18437088.0,18947151.0,19461423.0,20017651.0,20624675.0,21180529.0,21777517.0,22473702.0,23150813.0,23812771.0,24524327.0,25269776.0,26055656.0,26815263.0,27527748.0,28228946.0,28836219.0,29368540.0,29931629.0,30459684.0,31039100.0,31753691.0,32425685.0,33028475.0,33669847.0,34347069.0,35030081.0,35793713.0,36632195.0,37508354.0,38422746.0,39379077.0,40373410.0,41417931.0,42464806.0,43470277.0,44419782.0,45314314.0,46158242.0,46969032.0,47789665.0,48614067.0,49459497.0,50354295.0,51296626.0,52265991.0,53234090.0,54184587.0,55101100.0,55955458.0,56750378.0,57524447.0,58292048.0,59053582.0,59817878.0,60586714.0,61343341.0,62084126.0,62805275.0,63511132.0,64208236.0,64878901.0,65518275.0,66132393.0,66719485.0,67283803.0,67835283.0,68368313.0,68892956.0,69399549.0,69882852.0,70358863.0,70825070.0,71264386.0,71682900.0,72069077.0
Africa Eastern and Southern,AFE,05-09,SP.POP.0509.FE,9224178.0,9486214.0,9765428.0,10058500.0,10371024.0,10700238.0,11042410.0,11400505.0,11769370.0,12145143.0,12539283.0,12945861.0,13355827.0,13779661.0,14224554.0,14686470.0,15165924.0,15631055.0,16097970.0,16582399.0,17030380.0,17495239.0,18000846.0,18511872.0,19041593.0,19589540.0,20219620.0,20930414.0,21624936.0,22292120.0,22971404.0,23672682.0,24390944.0,25143386.0,25813683.0,26419817.0,27068416.0,27669660.0,28202108.0,28717923.0,29295840.0,29946085.0,30607277.0,31274652.0,31986476.0,32713560.0,33451866.0,34273592.0,35166994.0,36092207.0,37062339.0,38069847.0,39109515.0,40210166.0,41317284.0,42384176.0,43408412.0,44365105.0,45238285.0,46072800.0,46911818.0,47750830.0,48616748.0,49533670.0,50496312.0,51473752.0,52443389.0,53395718.0,54310280.0,55160071.0,55956975.0,56739536.0,57515270.0,58284656.0,59056719.0,59833333.0,60597757.0,61346381.0,62075560.0,62789540.0,63494938.0,64174345.0,64822808.0,65446344.0,66043117.0,66617058.0,67178236.0,67721029.0,68255375.0,68771770.0,69264868.0
Africa Eastern and Southern,AFE,10-14,SP.POP.1014.FE,7760047.0,7950546.0,8159040.0,8388190.0,8635913.0,8894261.0,9159572.0,9430325.0,9714999.0,10018168.0,10343679.0,10687232.0,11040527.0,11400572.0,11766634.0,12141377.0,12529912.0,12915052.0,13318646.0,13755008.0,14182851.0,14648853.0,15146804.0,15613875.0,16044949.0,16449686.0,16832281.0,17233999.0,17712602.0,18270233.0,18900622.0,19570013.0,20261533.0,20980419.0,21633560.0,22293639.0,23065963.0,23836447.0,24562697.0,25258215.0,25891956.0,26466027.0,27008484.0,27546814.0,28098918.0,28711450.0,29390265.0,30072411.0,30749326.0,31462174.0,32198382.0,32946172.0,33776468.0,34693873.0,35651456.0,36653658.0,37700546.0,38773390.0,39886015.0,40999618.0,42069398.0,43088865.0,44042510.0,44917675.0,45755498.0,46595379.0,47433580.0,48298325.0,49213952.0,50175205.0,51153234.0,52125101.0,53079522.0,53996072.0,54848008.0,55647261.0,56432207.0,57210281.0,57982003.0,58756363.0,59535299.0,60302098.0,61053176.0,61784944.0,62501615.0,63209729.0,63892016.0,64543554.0,65170274.0,65770257.0,66347420.0
Africa Eastern and Southern,AFE,15-19,SP.POP.1519.FE,6498502.0,6705676.0,6922855.0,7137094.0,7348233.0,7555821.0,7757342.0,7964305.0,8192875.0,8438662.0,8692708.0,8954181.0,9220579.0,9506320.0,9819265.0,10147848.0,10485591.0,10829571.0,11197419.0,11574043.0,11918303.0,12306081.0,12769283.0,13262527.0,13794487.0,14362871.0,14857676.0,15245050.0,15586244.0,15886377.0,16183066.0,16488047.0,16846702.0,17311202.0,17858155.0,18494355.0,19214264.0,19925836.0,20604554.0,21290785.0,21979525.0,22679746.0,23397627.0,24120508.0,24821016.0,25459544.0,26047818.0,26611604.0,27165199.0,27727105.0,28343895.0,29007846.0,29672258.0,30350532.0,31075901.0,31827428.0,32581986.0,33410378.0,34334491.0,35311876.0,36335804.0,37392619.0,38465709.0,39577435.0,40691612.0,41758970.0,42776484.0,43730846.0,44607190.0,45446120.0,46288069.0,47129208.0,47996643.0,48914637.0,49878005.0,50857915.0,51831487.0,52787492.0,53705567.0,54559111.0,55360127.0,56146832.0,56926662.0,57700155.0,58476285.0,59256900.0,60025380.0,60778173.0,61511684.0,62230081.0,62939909.0
Africa Eastern and Southern,AFE,20-24,SP.POP.2024.FE,5594132.0,5730412.0,5869666.0,6019568.0,6192034.0,6386909.0,6595202.0,6813298.0,7030931.0,7241195.0,7439082.0,7623354.0,7808254.0,8022380.0,8273344.0,8542192.0,8817877.0,9098753.0,9418643.0,9763955.0,10084673.0,10415977.0,10782522.0,11147372.0,11535428.0,11966459.0,12406705.0,12850250.0,13303304.0,13762029.0,14209839.0,14618271.0,14969987.0,15262992.0,15555013.0,15855106.0,16140534.0,16451663.0,16856087.0,17387536.0,17995370.0,18660063.0,19355820.0,20051525.0,20747463.0,21448490.0,22165626.0,22900317.0,23635751.0,24350082.0,25002891.0,25587492.0,26145574.0,26708837.0,27274718.0,27897498.0,28547884.0,29177045.0,29841888.0,30578412.0,31355868.0,32150758.0,33013056.0,33941643.0,34910299.0,35918744.0,36964672.0,38038277.0,39154210.0,40271565.0,41342481.0,42363927.0,43321547.0,44200924.0,45042849.0,45887562.0,46731352.0,47601246.0,48521406.0,49486643.0,50468169.0,51443132.0,52400419.0,53319836.0,54174991.0,54977798.0,55766294.0,56547876.0,57323045.0,58100675.0,58882649.0
Africa Eastern and Southern,AFE,25-29,SP.POP.2529.FE,4886704.0,4998558.0,5114309.0,5233076.0,5357871.0,5488052.0,5621063.0,5760745.0,5912573.0,6079989.0,6260926.0,6446681.0,6632205.0,6820373.0,7019389.0,7220318.0,7417565.0,7620745.0,7866942.0,8147516.0,8426316.0,8711533.0,9003952.0,9290928.0,9588576.0,9903986.0,10230064.0,10567585.0,10910089.0,11277670.0,11680543.0,12102091.0,12522890.0,12941185.0,13402449.0,13843105.0,14175305.0,14435788.0,14671838.0,14900105.0,15122561.0,15378465.0,15700205.0,16112976.0,16633896.0,17246742.0,17928165.0,18644459.0,19361289.0,20072498.0,20788690.0,21509936.0,22249636.0,23010609.0,23746437.0,24435429.0,25046269.0,25594212.0,26141601.0,26700947.0,27330572.0,28023647.0,28709163.0,29393432.0,30127744.0,30889899.0,31671425.0,32533347.0,33467269.0,34440045.0,35452498.0,36502225.0,37578061.0,38694741.0,39812221.0,40883068.0,41904381.0,42862049.0,43742067.0,44585031.0,45430844.0,46275893.0,47147095.0,48068462.0,49034794.0,50017271.0,50993008.0,51951024.0,52871222.0,53727344.0,54531310.0
Africa Eastern and Southern,AFE,30-34,SP.POP.3034.FE,4199780.0,4305734.0,4411294.0,4516205.0,4622048.0,4728753.0,4837703.0,4951913.0,5068657.0,5185400.0,5303604.0,5420546.0,5534376.0,5660892.0,5813750.0,5986098.0,6170627.0,6360041.0,6561909.0,6774834.0,6986641.0,7210953.0,7454167.0,7718488.0,7998200.0,8292253.0,8567388.0,8805389.0,9034519.0,9281030.0,9561941.0,9862671.0,10175477.0,10511397.0,10897029.0,11291082.0,11639002.0,11976127.0,12337732.0,12706829.0,13048241.0,13352360.0,13615082.0,13835181.0,14035278.0,14250597.0,14517054.0,14859639.0,15298195.0,15835572.0,16463081.0,17153760.0,17880921.0,18628128.0,19374608.0,20144063.0,20915316.0,21674320.0,22432247.0,23161560.0,23844536.0,24474164.0,25062315.0,25634625.0,26209597.0,26836048.0,27521349.0,28208697.0,28898712.0,29637139.0,30403052.0,31188399.0,32051889.0,32985522.0,33957335.0,34968204.0,36015698.0,37088793.0,38202109.0,39316091.0,40383886.0,41402591.0,42358305.0,43237477.0,44080361.0,44926337.0,45771926.0,46643823.0,47565696.0,48532215.0,49514645.0
Africa Eastern and Southern,AFE,35-39,SP.POP.3539.FE,3535856.0,3622726.0,3714069.0,3808828.0,3908192.0,4010761.0,4113073.0,4215299.0,4316534.0,4415040.0,4513885.0,4614022.0,4711563.0,4811756.0,4917832.0,5024588.0,5132793.0,5240577.0,5367364.0,5522605.0,5698085.0,5902424.0,6131200.0,6371189.0,6613997.0,6864638.0,7106449.0,7330644.0,7549411.0,7767249.0,7990076.0,8198487.0,8393716.0,8616282.0,8882529.0,9161158.0,9424026.0,9690095.0,9981559.0,10293352.0,10616194.0,10945770.0,11277411.0,11605105.0,11926998.0,12235647.0,12526858.0,12796166.0,13039048.0,13264734.0,13507938.0,13797765.0,14160990.0,14629347.0,15202095.0,15874276.0,16603516.0,17350716.0,18101141.0,18847517.0,19607075.0,20373836.0,21143210.0,21911051.0,22652405.0,23333366.0,23959303.0,24551520.0,25129029.0,25707667.0,26336404.0,27023318.0,27711642.0,28402117.0,29140026.0,29904855.0,30688778.0,31549462.0,32479143.0,33446589.0,34452774.0,35495219.0,36563035.0,37670639.0,38779029.0,39841957.0,40856469.0,41808801.0,42685820.0,43527335.0,44372207.0
Africa Eastern and Southern,AFE,40-44,SP.POP.4044.FE,2944196.0,3017904.0,3095416.0,3174922.0,3255916.0,3338297.0,3422627.0,3509651.0,3600292.0,3694302.0,3792985.0,3892943.0,3987779.0,4080806.0,4172670.0,4260013.0,4348187.0,4433664.0,4524914.0,4625774.0,4729198.0,4847710.0,4983940.0,5140432.0,5316188.0,5513058.0,5722441.0,5933316.0,6136236.0,6334894.0,6539476.0,6731763.0,6914975.0,7119625.0,7338814.0,7552084.0,7751460.0,7938245.0,8137390.0,8358160.0,8594559.0,8846826.0,9115154.0,9390845.0,9672920.0,9966345.0,10273737.0,10595373.0,10926390.0,11258766.0,11583442.0,11890181.0,12176035.0,12443161.0,12700216.0,12979382.0,13298383.0,13678514.0,14153659.0,14730960.0,15395913.0,16114329.0,16855270.0,17598392.0,18340948.0,19089668.0,19847057.0,20614059.0,21379990.0,22117505.0,22794994.0,23419289.0,24010392.0,24586911.0,25164614.0,25791386.0,26475168.0,27160434.0,27847872.0,28581902.0,29342559.0,30122193.0,30977233.0,31900112.0,32860403.0,33859056.0,34893540.0,35953110.0,37051833.0,38151342.0,39206253.0
Africa Eastern and Southern,AFE,45-49,SP.POP.4549.FE,2433461.0,2489122.0,2550083.0,2612835.0,2680389.0,2752411.0,2824834.0,2898084.0,2973864.0,3051077.0,3132071.0,3217747.0,3303529.0,3391627.0,3481849.0,3570327.0,3658045.0,3738942.0,3819418.0,3901997.0,3979224.0,4066919.0,4168814.0,4279377.0,4392313.0,4506551.0,4629139.0,4757635.0,4887775.0,5030995.0,5197211.0,5368470.0,5541970.0,5727331.0,5918075.0,6109752.0,6300354.0,6487061.0,6680537.0,6880699.0,7075985.0,7264879.0,7449470.0,7639904.0,7846078.0,8069988.0,8312633.0,8576233.0,8854142.0,9141718.0,9442837.0,9755095.0,10079885.0,10416459.0,10756947.0,11093406.0,11411889.0,11705198.0,11978368.0,12243730.0,12524773.0,12840580.0,13214985.0,13679159.0,14245024.0,14895846.0,15603263.0,16338315.0,17074548.0,17806461.0,18542967.0,19288675.0,20044216.0,20799122.0,21526757.0,22196293.0,22814477.0,23400624.0,23972751.0,24546284.0,25167898.0,25845320.0,26524498.0,27206055.0,27933315.0,28686838.0,29459187.0,30305340.0,31217886.0,32167247.0,33154461.0
