country_name,country_code,indicator_name,indicator_code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Africa Eastern and Southern,AFE,00-04,SP.POP.0004.MA,11903046.0,12271309.0,12661185.0,13062183.0,13473056.0,13898075.0,14326816.0,14765714.0,15224683.0,15698711.0,16185300.0,16683260.0,17183525.0,17686049.0,18189895.0,18693996.0,19215805.0,19740107.0,20305392.0,20922104.0,21492697.0,22104054.0,22810275.0,23490290.0,24158992.0,24889248.0,25659302.0,26468049.0,27244000.0,27978244.0,28707512.0,29347152.0,29894583.0,30453751.0,30982395.0,31562210.0,32277389.0,32957971.0,33571837.0,34220341.0,34907848.0,35604125.0,36378931.0,37231060.0,38124818.0,39060625.0,40045542.0,41072675.0,42153366.0,43238789.0,44281328.0,45267347.0,46198332.0,47078289.0,47924020.0,48779218.0,49641282.0,50527950.0,51462324.0,52445829.0,53461851.0,54474934.0,55467234.0,56421870.0,57302810.0,58108766.0,58885603.0,59654234.0,60415931.0,61182703.0,61958072.0,62722202.0,63469192.0,64195691.0,64906661.0,65608671.0,66283999.0,66927995.0,67546798.0,68138736.0,68707323.0,69262823.0,69799942.0,70328645.0,70838797.0,71326134.0,71806458.0,72276800.0,72721045.0,73144973.0,73536015.0
Africa Eastern and Southern,AFE,05-09,SP.POP.0509.MA,9269956.0,9547953.0,9837633.0,10138780.0,10457881.0,10793159.0,11142390.0,11509317.0,11887870.0,12272458.0,12668683.0,13071929.0,13478956.0,13901101.0,14350209.0,14822065.0,15312942.0,15791685.0,16272244.0,16772679.0,17252388.0,17738665.0,18241902.0,18741341.0,19265452.0,19831893.0,20483027.0,21205863.0,21905707.0,22576098.0,23259215.0,23975869.0,24712529.0,25475724.0,26162812.0,26772696.0,27400324.0,27982611.0,28505787.0,29013736.0,29588870.0,30239811.0,30909064.0,31589378.0,32313845.0,33055217.0,33807970.0,34640791.0,35543761.0,36478873.0,37466367.0,38501830.0,39576618.0,40719474.0,41868441.0,42978196.0,44047780.0,45048010.0,45959995.0,46830488.0,47709312.0,48590005.0,49498914.0,50461100.0,51471318.0,52497126.0,53509531.0,54497379.0,55439926.0,56305616.0,57105770.0,57885906.0,58657477.0,59421934.0,60191348.0,60969243.0,61736002.0,62485754.0,63215332.0,63929592.0,64635090.0,65314592.0,65963380.0,66587445.0,67184988.0,67759240.0,68320639.0,68863966.0,69398995.0,69915906.0,70410300.0
Africa Eastern and Southern,AFE,10-14,SP.POP.1014.MA,7827606.0,8020790.0,8228078.0,8455835.0,8700624.0,8962290.0,9238488.0,9519037.0,9810109.0,10116149.0,10439730.0,10780612.0,11133297.0,11493218.0,11863998.0,12245583.0,12638896.0,13025539.0,13422042.0,13860237.0,14353838.0,14879132.0,15382222.0,15851675.0,16276164.0,16680066.0,17074031.0,17479172.0,17939780.0,18483808.0,19119223.0,19793162.0,20478161.0,21206240.0,21894255.0,22559057.0,23290245.0,24037724.0,24763691.0,25454809.0,26089381.0,26656896.0,27187949.0,27720901.0,28272449.0,28885239.0,29568034.0,30260742.0,30947246.0,31655856.0,32395304.0,33163330.0,34014733.0,34956931.0,35940084.0,36983588.0,38079859.0,39194652.0,40339961.0,41476275.0,42575598.0,43631748.0,44623698.0,45538449.0,46417096.0,47297218.0,48175798.0,49082959.0,50041445.0,51046847.0,52070078.0,53082070.0,54069519.0,55011756.0,55877524.0,56678165.0,57458874.0,58230972.0,58995932.0,59765813.0,60544145.0,61311446.0,62061903.0,62792350.0,63507605.0,64214165.0,64894977.0,65545401.0,66171283.0,66770763.0,67347033.0
Africa Eastern and Southern,AFE,15-19,SP.POP.1519.MA,6464521.0,6684830.0,6916635.0,7145770.0,7371925.0,7587183.0,7786522.0,7990619.0,8213692.0,8449176.0,8696827.0,8963706.0,9236303.0,9523347.0,9834340.0,10155110.0,10480836.0,10809131.0,11149135.0,11507640.0,11922646.0,12375192.0,12830415.0,13317970.0,13824715.0,14361225.0,14864092.0,15272932.0,15602172.0,15895648.0,16204838.0,16506174.0,16834366.0,17295666.0,17886051.0,18552680.0,19253620.0,19953480.0,20643080.0,21323304.0,22001967.0,22685674.0,23389561.0,24096953.0,24777008.0,25396070.0,25970528.0,26524356.0,27068905.0,27607373.0,28211924.0,28895166.0,29593594.0,30318242.0,31090661.0,31918660.0,32743324.0,33610378.0,34553287.0,35526881.0,36563052.0,37645093.0,38749774.0,39901417.0,41056257.0,42161475.0,43216411.0,44208155.0,45121552.0,45998438.0,46877961.0,47757038.0,48664362.0,49622562.0,50627302.0,51649588.0,52660491.0,53646820.0,54588019.0,55453126.0,56253512.0,57034077.0,57806078.0,58571021.0,59340852.0,60118991.0,60886123.0,61636532.0,62367046.0,63082447.0,63789187.0
Africa Eastern and Southern,AFE,20-24,SP.POP.2024.MA,5452406.0,5586353.0,5725665.0,5879098.0,6056915.0,6258724.0,6474928.0,6703572.0,6932004.0,7152404.0,7351825.0,7535254.0,7722910.0,7937065.0,8181513.0,8440920.0,8705977.0,8968623.0,9255925.0,9567695.0,9918685.0,10268871.0,10594937.0,10925332.0,11264541.0,11630585.0,12063481.0,12546277.0,13001337.0,13451460.0,13901986.0,14300351.0,14619197.0,14894684.0,15200899.0,15518633.0,15804576.0,16128955.0,16562406.0,17113723.0,17752453.0,18442321.0,19150354.0,19848251.0,20529313.0,21197391.0,21881903.0,22593229.0,23300419.0,23971952.0,24590030.0,25158368.0,25708737.0,26282417.0,26880011.0,27575344.0,28285156.0,28956812.0,29672727.0,30439607.0,31250943.0,32077598.0,32963330.0,33915149.0,34908350.0,35943412.0,37018011.0,38123376.0,39274042.0,40425867.0,41528897.0,42582685.0,43572968.0,44485151.0,45361003.0,46239278.0,47117027.0,48022718.0,48978786.0,49980923.0,51000295.0,52008135.0,52991456.0,53929992.0,54793181.0,55592277.0,56371721.0,57142679.0,57906587.0,58675188.0,59451883.0
Africa Eastern and Southern,AFE,25-29,SP.POP.2529.MA,4713060.0,4814153.0,4918510.0,5026028.0,5140702.0,5262204.0,5387898.0,5524373.0,5679552.0,5854270.0,6042725.0,6244221.0,6455015.0,6669416.0,6893479.0,7107113.0,7299173.0,7490854.0,7715802.0,7965806.0,8251840.0,8526391.0,8746870.0,8941702.0,9125885.0,9300921.0,9555134.0,9922743.0,10305807.0,10714557.0,11156453.0,11596414.0,11999567.0,12369383.0,12772502.0,13173104.0,13494455.0,13776356.0,14053772.0,14328546.0,14609951.0,14926864.0,15300571.0,15760294.0,16324753.0,16973677.0,17678102.0,18403400.0,19113103.0,19800311.0,20473997.0,21142083.0,21829606.0,22537496.0,23235905.0,23915913.0,24494035.0,25005637.0,25565705.0,26157013.0,26824252.0,27554198.0,28277301.0,29001871.0,29775180.0,30574856.0,31389191.0,32275532.0,33228133.0,34219101.0,35251828.0,36324241.0,37425647.0,38570630.0,39716092.0,40812845.0,41860540.0,42845284.0,43753079.0,44625229.0,45499905.0,46374297.0,47276614.0,48228993.0,49227065.0,50242102.0,51245576.0,52224718.0,53159519.0,54019797.0,54816705.0
Africa Eastern and Southern,AFE,30-34,SP.POP.3034.MA,4079665.0,4166589.0,4253645.0,4340514.0,4429617.0,4520492.0,4614276.0,4715214.0,4823140.0,4934940.0,5048651.0,5168612.0,5297071.0,5445004.0,5624456.0,5825669.0,6035167.0,6249815.0,6473308.0,6699729.0,6928680.0,7136729.0,7315752.0,7485012.0,7644846.0,7796186.0,7971969.0,8176646.0,8379508.0,8607787.0,8881736.0,9189754.0,9503988.0,9806475.0,10137618.0,10493936.0,10832577.0,11179236.0,11556290.0,11941859.0,12313276.0,12667761.0,12992595.0,13284486.0,13563785.0,13855810.0,14188785.0,14586405.0,15069475.0,15647769.0,16306897.0,17006266.0,17720403.0,18431881.0,19129292.0,19839412.0,20512775.0,21167835.0,21859093.0,22540445.0,23186536.0,23787250.0,24353651.0,24921216.0,25510832.0,26162406.0,26878882.0,27603650.0,28332164.0,29105086.0,29903333.0,30716601.0,31599284.0,32546053.0,33530274.0,34555351.0,35619159.0,36711210.0,37845860.0,38980853.0,40067891.0,41106628.0,42083489.0,42985087.0,43852124.0,44721972.0,45592014.0,46490083.0,47437744.0,48430503.0,49439924.0
Africa Eastern and Southern,AFE,35-39,SP.POP.3539.MA,3483816.0,3558274.0,3635546.0,3713247.0,3793506.0,3875344.0,3956461.0,4039217.0,4124445.0,4209587.0,4295048.0,4386866.0,4483924.0,4588736.0,4706065.0,4829877.0,4956042.0,5088483.0,5246902.0,5430140.0,5627706.0,5832718.0,6035204.0,6222268.0,6393354.0,6543549.0,6702558.0,6890781.0,7073443.0,7251899.0,7439644.0,7623661.0,7780671.0,7923296.0,8088172.0,8284333.0,8500149.0,8756004.0,9061935.0,9396226.0,9749551.0,10116194.0,10481456.0,10841676.0,11201052.0,11554987.0,11901267.0,12234148.0,12546303.0,12845780.0,13158924.0,13506089.0,13914010.0,14413233.0,15009401.0,15700546.0,16408054.0,17103010.0,17803395.0,18485600.0,19161081.0,19836395.0,20517565.0,21203368.0,21876480.0,22507425.0,23098504.0,23668248.0,24240204.0,24829937.0,25479019.0,26192021.0,26912540.0,27636240.0,28403090.0,29194498.0,30000451.0,30874019.0,31810144.0,32783060.0,33796195.0,34847387.0,35926342.0,37047105.0,38168355.0,39242785.0,40269977.0,41236625.0,42129972.0,42990010.0,43853260.0
Africa Eastern and Southern,AFE,40-44,SP.POP.4044.MA,2929035.0,2992955.0,3060163.0,3127933.0,3196747.0,3266289.0,3336555.0,3408361.0,3482772.0,3559036.0,3638028.0,3720962.0,3804349.0,3890536.0,3981138.0,4072373.0,4166160.0,4263972.0,4377318.0,4499752.0,4607895.0,4716691.0,4838022.0,4966410.0,5103130.0,5246839.0,5417021.0,5616968.0,5806700.0,5988345.0,6168367.0,6332306.0,6475906.0,6608335.0,6735514.0,6860429.0,6980938.0,7102688.0,7250266.0,7426175.0,7633655.0,7877640.0,8152295.0,8445913.0,8755329.0,9081277.0,9421483.0,9773532.0,10133466.0,10496948.0,10859337.0,11213784.0,11557216.0,11888209.0,12213518.0,12562558.0,12926652.0,13331062.0,13828439.0,14415738.0,15076634.0,15770587.0,16465084.0,17144984.0,17808434.0,18463613.0,19125521.0,19803533.0,20486016.0,21151489.0,21774378.0,22359370.0,22923669.0,23490061.0,24073838.0,24715288.0,25418911.0,26129921.0,26844010.0,27600067.0,28380155.0,29174532.0,30034725.0,30955871.0,31913154.0,32909937.0,33944011.0,35005325.0,36107444.0,37210171.0,38267533.0
Africa Eastern and Southern,AFE,45-49,SP.POP.4549.MA,2416431.0,2465607.0,2520717.0,2575964.0,2634712.0,2696627.0,2757750.0,2818978.0,2882767.0,2948211.0,3017399.0,3092712.0,3169399.0,3248308.0,3330016.0,3411398.0,3492690.0,3573021.0,3662824.0,3755760.0,3823683.0,3891164.0,3975389.0,4059511.0,4139904.0,4214523.0,4309017.0,4430109.0,4554329.0,4689994.0,4847232.0,5011904.0,5170806.0,5318929.0,5463716.0,5601793.0,5728089.0,5854963.0,5991585.0,6129441.0,6267757.0,6409264.0,6547824.0,6695507.0,6866059.0,7064462.0,7294681.0,7558824.0,7847762.0,8154302.0,8477428.0,8811260.0,9158008.0,9518153.0,9887621.0,10264392.0,10623309.0,10961721.0,11294381.0,11620415.0,11954285.0,12307798.0,12704161.0,13177978.0,13741946.0,14379076.0,15055906.0,15741052.0,16410201.0,17058078.0,17696046.0,18341070.0,19001901.0,19667283.0,20316594.0,20925314.0,21498215.0,22051815.0,22607853.0,23181035.0,23810111.0,24499490.0,25196316.0,25896257.0,26636827.0,27400819.0,28178814.0,29020400.0,29920930.0,30856686.0,31830996.0
